date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,wd,lw_in,t_avg,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,213.69668276004924,,,1.2638022983906485,0.7912630015576174,,18.889622210403388,0.7912630015576174,,,,0.6651221213714567,2.9,2.1000001,0.0,,0.3167248046185601,0.6651221213714567,True,0.6651221213714567
2014-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,216.13606943941738,,,1.2757939273732821,0.7838256465594636,,13.956199781520619,0.7838256465594636,,,,0.4914114798895506,2.1000001,1.5,0.0,,0.3276076532597004,0.4914114798895506,True,0.4914114798895506
2014-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,218.5787614844067,,,1.2810900027033834,0.7805852811978695,,8.651888131968395,0.7805852811978695,,,,0.3046414652503767,1.2,0.90000004,0.0,,0.33849050190084073,0.3046414652503767,True,0.3046414652503767
2014-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,221.02386640001063,,,1.2916995525017054,0.7741738379201611,,11.906740834623642,0.7741738379201611,,,,0.4192480206503773,1.6,1.2,0.0,,0.34937335054198104,0.4192480206503773,True,0.4192480206503773
2014-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,223.47049357092945,,,1.3012350946827127,0.7685006376529028,,17.39331106404689,0.7685006376529028,,,,0.6124355386113064,2.4,1.7,0.90000004,,0.3602561991831214,0.6124355386113064,True,0.6124355386113064
2014-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,225.91775496133582,,,1.3136004542967108,0.7612664845913063,,14.756608818035927,0.7612664845913063,,,,0.5195946669539664,1.9,1.4,5.3,,0.3711390478242617,0.5195946669539664,True,0.5195946669539664
2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,228.36476580413571,,,1.3227484944929897,0.7560016164549109,,9.764559695531183,0.7560016164549109,,,,0.3438197220997377,1.1,0.90000004,0.0,,0.3820218964654021,0.3438197220997377,True,0.3438197220997377
2014-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,230.81064527835244,,,1.3312773164834877,0.7511582955844673,,16.737878566797427,0.7511582955844673,,,,0.5893571176598136,1.8000001,1.5,0.0,,0.3929047451065424,0.5893571176598136,True,0.5893571176598136
2014-03-21,,,,,,,,,,,,,,,,,,-5.198624,6.848808,,,,,,,233.2545171733004,,,1.3370465864268897,0.7479170958974514,,14.907960618086088,0.7479170958974514,,,,0.524923912250747,1.8000001,1.3000001,0.0,,0.4037875937476827,0.524923912250747,True,0.524923912250747
2014-03-22,53.89485875000002,0.3129385630176634,,,261.0785139625,,,,,,,,-8.999768291666664,,,,,-12.73623,-5.955026,,,,,,,235.6955105382576,,,1.3456305534061144,0.7431460273169034,,7.263207512456629,0.7431460273169034,,,,0.24880226543329376,0.8,0.6,0.0,,0.41467044238882306,0.24880226543329376,True,0.24880226543329376
2014-03-23,61.17186083333332,0.3064902779983669,,,218.28933212312492,,,,,,236.28938608333337,,-9.564410895833333,,,,,-16.8083,-4.134361,,,,,,,238.13276031639546,,,1.3447355663042908,0.7436406272411457,,14.915533945159659,0.7436406272411457,,,,0.5106639492359559,1.6,1.2,0.0,,0.4255532910299633,0.5106639492359559,True,0.5106639492359559
2014-03-24,69.44388395833336,0.4082422486286137,14.768667031249995,,128.33797216035416,,,,,,214.58271354166664,,-5.83493440625,,,19.067172541666668,,-11.32972,-0.6446611999999999,,,,,,,240.565407961771,33.83583957291666,,1.3395413512482781,0.7465241734181108,45.324506262124736,25.54126607094823,0.7465241734181108,,19.783240191176514,0.6550895682508867,0.8775195654434437,1.5,1.1,1.3000001,0.7977450594940396,0.4364361396711037,0.4800797536382141,False,
2014-03-25,51.529959375,0.3130156843623877,,,249.92281955437497,,,,,,282.10320410416665,,-9.106656354166663,,,,,-14.20508,-5.3370440000000015,,,,,,,242.99260203824227,,,1.3338571110208632,0.7497054907437973,,14.365726437057655,0.7497054907437973,,,,0.4920508871434684,1.5,1.1,0.0,,0.447318988312244,0.4920508871434684,True,0.4920508871434684
2014-03-26,59.21479,0.5576964910441418,,,224.823462591875,,,,,,156.90370402083332,,-2.8416009750000004,,,,,-15.52984,4.286475,,,,,,,245.41349879922345,,,1.3285728978333151,0.7526873396490597,,29.257883504861613,0.7526873396490597,,,,1.0080440412974456,3.1000001,2.2,0.5,,0.4582018369533843,1.0080440412974456,True,1.0080440412974456
2014-03-27,86.286895,0.7094550864712076,,,20.35885030775,,,,,,,,2.0207113568750006,,,,,-0.4231657999999999,4.270501,,,,,,,247.82726274725465,,,1.3205446785901027,0.7572632840167615,,13.552579198768225,0.7572632840167615,,,,0.4690846855945247,1.3000001,1.0,14.3,,0.4690846855945247,0.4690846855945247,True,0.4690846855945247
